DATE,CLOSE,OPEN,HIGH,LOW,VOLUME,CHANGE %
1-Oct-24,"81,804.59","81,199.43","81,980.37","81,119.24",191.15M,0.85%
2-Oct-24,"81,967.01","81,706.43","82,360.29","81,529.45",154.65M,0.20%
3-Oct-24,"82,721.77","82,076.34","82,958.74","81,981.50",159.63M,0.92%
4-Oct-24,"83,531.96","82,804.30","83,605.73","82,594.80",173.69M,0.98%
7-Oct-24,"84,910.30","83,651.99","85,047.81","83,303.55",281.01M,1.65%
8-Oct-24,"85,663.98","84,905.56","85,824.27","84,897.99",283.71M,0.89%
9-Oct-24,"85,669.28","85,823.81","86,451.43","85,444.31",349.29M,0.01%
10-Oct-24,"85,453.22","85,743.41","86,013.46","85,425.74",293.94M,-0.25%
11-Oct-24,"85,483.40","85,432.84","85,750.19","84,774.46",295.02M,0.04%
14-Oct-24,"85,261.39","85,596.91","86,105.03","85,156.11",263.52M,-0.26%
15-Oct-24,"85,840.34","85,264.93","85,893.99","84,856.21",251.62M,0.68%
16-Oct-24,"86,205.66","86,060.69","86,513.46","85,948.05",259.49M,0.43%
17-Oct-24,"85,585.43","86,439.57","86,520.29","85,539.20",219.88M,-0.72%
18-Oct-24,"85,250.09","85,638.58","85,773.83","85,120.90",152.92M,-0.39%
21-Oct-24,"86,057.52","85,353.34","86,172.79","85,349.33",240.44M,0.95%
22-Oct-24,"86,466.58","86,294.70","86,846.04","86,294.70",415.55M,0.48%
23-Oct-24,"87,194.54","86,667.99","87,309.23","86,284.25",424.37M,0.84%
24-Oct-24,"88,945.99","87,553.63","89,126.16","87,382.05",458.05M,2.01%
25-Oct-24,"89,993.97","89,373.82","90,593.61","89,373.82",365.94M,1.18%
28-Oct-24,"90,195.52","90,633.65","91,054.84","89,732.73",267.24M,0.22%
29-Oct-24,"90,864.09","90,509.48","91,358.15","90,449.42",256.87M,0.74%
30-Oct-24,"90,286.57","91,375.53","91,872.63","90,003.31",240.63M,-0.64%
31-Oct-24,"88,966.77","90,459.17","90,700.23","89,063.34",287.74M,-1.46%
1-Nov-24,"90,859.85","89,292.74","91,133.28","88,852.68",230.03M,2.13%
4-Nov-24,"91,938.01","91,454.30","92,159.08","91,395.35",311.38M,1.19%
5-Nov-24,"92,304.32","92,510.48","92,514.30","91,536.09",289.41M,0.40%
6-Nov-24,"92,021.44","92,509.76","92,966.95","91,891.47",376.32M,-0.31%
7-Nov-24,"92,520.49","92,259.48","92,694.54","92,185.69",322.63M,0.54%
8-Nov-24,"93,291.68","92,623.84","93,514.56","92,566.49",362.83M,0.83%
11-Nov-24,"93,648.33","93,485.41","94,020.03","93,318.91",468.86M,0.38%
12-Nov-24,"93,224.56","93,799.93","93,871.62","92,893.11",408.48M,-0.45%
13-Nov-24,"93,355.43","93,362.53","93,803.59","92,943.08",295.67M,0.14%
14-Nov-24,"94,191.89","93,672.72","94,289.97","93,672.72",255.61M,0.90%
15-Nov-24,"94,763.64","94,431.19","95,278.27","94,431.19",283.27M,0.61%
18-Nov-24,"94,995.67","95,060.85","95,307.92","94,620.45",277.31M,0.24%
19-Nov-24,"95,856.67","95,241.64","96,036.49","95,212.63",377.89M,0.91%
20-Nov-24,"95,546.46","96,055.66","96,711.33","95,311.97",565.38M,-0.32%
21-Nov-24,"97,328.40","95,674.50","97,437.15","95,300.21",323.53M,1.86%
22-Nov-24,"97,798.23","97,835.39","99,623.04","97,471.12",515.07M,0.48%
25-Nov-24,"98,079.78","97,851.82","99,317.48","97,137.64",281.10M,0.29%
26-Nov-24,"94,574.16","98,049.38","99,819.59","94,180.60",517.94M,-3.57%
27-Nov-24,"99,269.25","97,425.06","99,549.81","97,188.28",495.79M,4.96%
28-Nov-24,"100,082.77","100,059.29","100,540.29","99,354.24",555.94M,0.82%
29-Nov-24,"101,357.32","100,393.16","101,496.18","99,822.62",454.63M,1.27%
2-Dec-24,"103,274.95","101,921.21","103,386.47","101,921.21",695.79M,1.89%
3-Dec-24,"104,559.07","103,520.00","104,680.89","102,825.60",756.59M,1.24%
4-Dec-24,"105,104.34","105,080.29","105,473.56","104,315.41",697.65M,0.52%
5-Dec-24,"108,238.97","105,661.16","108,345.99","105,448.06",721.60M,2.98%
6-Dec-24,"109,053.95","108,864.72","109,478.09","108,550.87",658.76M,0.75%
9-Dec-24,"109,970.39","109,094.07","110,358.85","107,625.92",719.55M,0.84%
10-Dec-24,"108,896.65","110,738.04","111,759.58","107,711.40",669.93M,-0.98%
11-Dec-24,"110,810.22","109,455.51","111,012.02","109,416.32",509.28M,1.76%
12-Dec-24,"114,180.51","111,308.66","114,408.62","111,308.66",636.22M,3.04%
13-Dec-24,"114,301.80","114,627.54","115,172.45","112,609.26",479.75M,0.11%
16-Dec-24,"116,169.41","115,433.26","116,681.59","115,346.00",491.30M,1.63%
17-Dec-24,"114,860.69","116,308.02","117,039.18","113,688.55",548.57M,-1.13%
18-Dec-24,"111,070.29","114,854.05","116,236.71","110,896.27",507.24M,-3.30%
19-Dec-24,"106,274.98","110,140.75","111,745.03","105,937.37",531.31M,-4.32%
20-Dec-24,"109,513.15","106,073.21","109,846.64","105,601.04",321.98M,3.05%
23-Dec-24,"113,924.42","110,990.57","114,189.72","110,891.36",424.81M,4.03%
24-Dec-24,"112,414.81","114,987.83","115,036.50","112,294.42",352.68M,-1.33%
26-Dec-24,"110,423.32","112,480.60","112,480.60","109,858.88",274.82M,-1.77%
27-Dec-24,"111,351.18","110,658.65","112,043.77","110,246.93",293.22M,0.84%
30-Dec-24,"115,259.00","111,916.71","115,422.34","111,916.71",521.36M,3.51%
31-Dec-24,"115,126.90","116,700.02","116,700.02","114,804.81",580.52M,-0.11%
1-Jan-25,"117,008.08","115,258.12","117,341.03","114,719.89",465.17M,1.63%
2-Jan-25,"117,119.66","117,150.31","118,367.81","116,857.61",383.72M,0.10%
3-Jan-25,"117,586.98","117,484.90","117,891.62","115,580.02",398.07M,0.40%
6-Jan-25,"116,255.13","118,309.50","118,735.10","115,941.95",369.83M,-1.13%
